Data Pub.;ID CVE;Ativo Impactado;Descrição Técnica
2026-02-17T18:20:29.940;CVE-2025-36247;Windows 11 Pro;IBM Db2 for Linux, UNIX and Windows (includes Db2 Connect Server) 11.5.0 through 11.5.9 and 12.1.0 through 12.1.3 is vulnerable to an XML external entity injection (XXE) attack when processing XML data. A remote attacker could exploit this vulnerability to expose sensitive information or consume memory resources.
2025-12-05T01:15:48.557;CVE-2025-62223;Microsoft Edge;User interface (ui) misrepresentation of critical information in Microsoft Edge for iOS allows an unauthorized attacker to perform spoofing over a network.
2025-12-18T22:16:01.750;CVE-2025-65046;Microsoft Edge;Microsoft Edge (Chromium-based) Spoofing Vulnerability
2026-01-07T23:15:44.407;CVE-2025-62224;Microsoft Edge;User interface (ui) misrepresentation of critical information in Microsoft Edge for Android allows an authorized attacker to perform spoofing over a network.
2026-01-16T22:16:25.983;CVE-2026-21223;Microsoft Edge;Improper privilege management in Microsoft Edge (Chromium-based) allows an authorized attacker to bypass a security feature locally.
2026-02-05T23:15:54.093;CVE-2026-0391;Microsoft Edge;User interface (ui) misrepresentation of critical information in Microsoft Edge for Android allows an unauthorized attacker to perform spoofing over a network.
2025-09-24T18:15:36.313;CVE-2025-20316;Cisco Catalyst 9500;"A vulnerability in the access control list (ACL) programming of Cisco IOS XE Software for Cisco Catalyst 9500X and 9600X Series Switches could allow an unauthenticated, remote attacker to bypass a configured ACL on an affected device.

 This vulnerability is due to the flooding of traffic from an unlearned MAC address on a switch virtual interface (SVI) that has an egress ACL applied. An attacker could exploit this vulnerability by causing the VLAN to flush its MAC address table. This condition can also occur if the MAC address table is full. A successful exploit could allow the attacker to bypass an egress ACL on an affected device."
2025-09-16T19:15:35.410;CVE-2025-47967;Microsoft Edge;Insufficient ui warning of dangerous operations in Microsoft Edge for Android allows an unauthorized attacker to perform spoofing over a network.
2025-09-24T19:15:41.920;CVE-2025-59251;Microsoft Edge;Microsoft Edge (Chromium-based) Remote Code Execution Vulnerability
2025-10-31T20:15:52.413;CVE-2025-60711;Microsoft Edge;Protection mechanism failure in Microsoft Edge (Chromium-based) allows an unauthorized attacker to execute code over a network.
2026-03-16T14:18:06.797;CVE-2026-0385;Microsoft Edge;Microsoft Edge (Chromium-based) for Android Spoofing Vulnerability
2026-03-23T19:16:39.040;CVE-2026-0898;Microsoft Edge;An arbitrary file-write vulnerability in Pega Browser Extension (PBE) affects Pega Robot Studio developers who are automating Google Chrome and Microsoft Edge using either version 22.1 or R25. This vulnerability does not affect Robot Runtime users. A bad actor could create a website that includes malicious code. The vulnerability may be exploited if a Pega Robot Studio developer is deceived into visiting this website during interrogation mode in Robot Studio.
